age,education,housing,contact,month,duration,campaign,pdays,previous,poutcome
48,1,1,2,8,760,1,-1,0,3
60,0,1,2,8,930,1,-1,0,3
40,3,1,2,8,1028,2,-1,0,3
57,2,0,2,8,850,2,-1,0,3
51,1,1,2,8,927,1,-1,0,3
41,1,1,2,8,1423,3,-1,0,3
41,1,1,2,8,1162,4,-1,0,3
52,0,1,2,8,755,1,-1,0,3
59,0,1,2,8,695,1,-1,0,3
44,3,1,2,8,483,1,-1,0,3
49,0,1,2,8,520,2,-1,0,3
40,0,1,2,8,920,2,-1,0,3
41,0,1,2,8,500,1,-1,0,3
44,2,1,2,8,911,2,-1,0,3
60,0,1,2,8,920,2,-1,0,3
29,2,0,2,8,1224,2,-1,0,3
41,0,1,2,8,1156,2,-1,0,3
41,0,1,2,8,1052,1,-1,0,3
42,1,1,2,8,1867,6,-1,0,3
36,3,1,2,8,515,1,-1,0,3
39,2,1,2,8,813,1,-1,0,3
31,2,1,2,8,676,1,-1,0,3
26,1,1,2,8,1143,3,-1,0,3
31,1,1,2,8,688,1,-1,0,3
29,1,1,2,8,803,1,-1,0,3
37,1,1,2,8,619,2,-1,0,3
33,1,1,2,8,767,2,-1,0,3
24,1,1,2,8,912,1,-1,0,3
50,1,1,2,8,1340,1,-1,0,3
27,2,1,2,8,897,1,-1,0,3
54,2,1,2,8,1297,3,-1,0,3
30,1,1,2,8,1193,5,-1,0,3
34,0,1,2,8,1064,4,-1,0,3
37,1,1,2,8,1187,4,-1,0,3
41,1,1,2,8,882,1,-1,0,3
47,1,1,2,8,943,2,-1,0,3
31,1,1,2,8,607,1,-1,0,3
31,1,1,2,8,1022,4,-1,0,3
43,1,1,2,8,552,3,-1,0,3
37,2,1,2,8,1622,2,-1,0,3
30,2,1,2,8,967,6,-1,0,3
41,1,1,2,8,579,5,-1,0,3
36,1,1,2,8,446,1,-1,0,3
35,1,1,2,8,1205,1,-1,0,3
29,1,1,2,8,1882,2,-1,0,3
35,0,1,2,8,1334,1,-1,0,3
31,1,1,2,8,182,2,-1,0,3
35,1,1,2,8,1777,1,-1,0,3
34,1,1,2,8,1182,4,-1,0,3
31,1,1,2,8,1045,1,-1,0,3
44,1,1,2,8,650,3,-1,0,3
36,0,1,2,8,1063,2,-1,0,3
35,3,1,2,8,843,2,-1,0,3
41,0,1,2,8,1392,2,-1,0,3
31,0,1,2,8,565,1,-1,0,3
34,1,1,2,8,905,1,-1,0,3
32,1,1,2,8,783,2,-1,0,3
36,2,1,2,8,958,2,-1,0,3
30,1,1,2,8,412,1,-1,0,3
37,1,1,2,8,795,1,-1,0,3
36,0,1,2,8,649,2,-1,0,3
31,2,1,2,8,506,2,-1,0,3
27,1,1,2,8,857,1,-1,0,3
34,0,0,2,8,1681,1,-1,0,3
30,2,1,2,8,1697,2,-1,0,3
32,2,1,2,8,860,2,-1,0,3
37,1,1,2,8,799,1,-1,0,3
32,1,1,2,8,923,3,-1,0,3
33,1,1,2,8,521,3,-1,0,3
35,0,1,2,8,1349,8,-1,0,3
35,2,1,2,8,736,2,-1,0,3
30,1,1,2,8,785,1,-1,0,3
45,0,1,2,8,1030,1,-1,0,3
45,1,1,2,8,893,3,-1,0,3
33,1,1,2,8,588,3,-1,0,3
44,2,0,2,8,597,6,-1,0,3
40,0,1,2,8,1015,3,-1,0,3
31,1,1,2,8,1392,2,-1,0,3
30,2,1,2,8,414,2,-1,0,3
44,1,1,2,8,788,11,-1,0,3
34,1,1,2,8,682,1,-1,0,3
37,1,0,2,8,679,2,-1,0,3
28,2,1,2,8,1560,2,-1,0,3
32,1,1,2,8,1234,3,-1,0,3
37,1,1,2,8,642,2,-1,0,3
34,2,1,2,8,895,4,-1,0,3
38,1,1,2,8,431,2,-1,0,3
28,1,1,2,8,741,6,-1,0,3
31,2,1,2,8,1272,4,-1,0,3
59,1,1,2,8,748,3,-1,0,3
24,1,1,2,8,896,3,-1,0,3
26,1,1,2,8,764,2,-1,0,3
59,1,1,2,8,1063,5,-1,0,3
30,0,1,2,8,1051,1,-1,0,3
37,1,1,2,8,731,3,-1,0,3
30,1,1,2,8,751,1,-1,0,3
25,1,1,2,8,709,1,-1,0,3
44,1,1,2,8,3094,2,-1,0,3
29,2,0,2,8,938,2,-1,0,3
26,2,1,2,8,1560,2,-1,0,3
26,1,1,2,8,576,3,-1,0,3
27,1,1,2,8,543,2,-1,0,3
25,1,1,2,8,615,2,-1,0,3
28,1,1,2,8,507,1,-1,0,3
23,1,1,2,8,1183,1,-1,0,3
34,2,1,2,8,864,2,-1,0,3
28,1,1,2,8,1730,1,-1,0,3
51,3,1,2,8,560,9,-1,0,3
35,1,1,2,8,543,1,-1,0,3
35,1,1,2,8,539,1,-1,0,3
56,1,1,2,8,791,2,-1,0,3
45,1,1,2,8,746,1,-1,0,3
60,1,1,2,8,1207,1,-1,0,3
56,1,1,2,8,535,2,-1,0,3
27,2,1,2,8,789,3,-1,0,3
30,1,1,2,8,792,3,-1,0,3
45,0,1,2,8,833,2,-1,0,3
29,1,1,2,8,814,2,-1,0,3
38,2,1,2,8,1363,2,-1,0,3
30,1,1,2,8,1109,3,-1,0,3
44,0,1,2,8,828,3,-1,0,3
36,2,1,2,8,917,1,-1,0,3
38,1,1,2,8,762,3,-1,0,3
36,1,1,2,8,1133,2,-1,0,3
37,1,1,2,8,638,1,-1,0,3
35,2,1,2,8,763,1,-1,0,3
38,1,1,2,8,604,2,-1,0,3
40,0,1,2,8,854,2,-1,0,3
42,1,1,2,8,855,2,-1,0,3
46,2,1,2,8,1269,1,-1,0,3
35,1,1,2,8,691,10,-1,0,3
34,1,1,2,8,1097,15,-1,0,3
32,1,1,2,8,1236,2,-1,0,3
50,1,1,2,8,886,3,-1,0,3
35,1,1,2,8,1343,3,-1,0,3
36,1,1,2,8,812,3,-1,0,3
53,0,1,2,8,1980,2,-1,0,3
46,2,1,2,8,984,2,-1,0,3
26,2,1,2,8,228,2,-1,0,3
45,1,1,2,8,891,4,-1,0,3
31,0,1,2,8,745,12,-1,0,3
29,2,1,2,8,539,12,-1,0,3
53,1,1,2,8,1044,5,-1,0,3
27,0,1,2,8,1193,2,-1,0,3
39,2,1,2,6,526,2,-1,0,3
36,1,1,2,6,394,1,-1,0,3
41,0,1,2,6,659,2,-1,0,3
36,0,1,2,6,1036,1,-1,0,3
32,1,1,2,6,815,1,-1,0,3
35,1,1,2,6,563,1,-1,0,3
36,2,1,2,6,1068,1,-1,0,3
35,2,1,2,6,230,3,-1,0,3
30,1,1,2,6,747,2,-1,0,3
42,1,1,2,6,671,5,-1,0,3
42,1,1,2,6,555,5,-1,0,3
32,0,1,2,6,777,4,-1,0,3
29,1,1,2,6,707,14,-1,0,3
44,2,1,2,6,432,4,-1,0,3
32,1,1,2,6,1173,3,-1,0,3
31,1,1,2,6,963,2,-1,0,3
40,1,1,2,6,941,3,-1,0,3
43,1,0,2,6,1025,7,-1,0,3
27,1,1,2,6,732,2,-1,0,3
37,1,1,2,6,1045,3,-1,0,3
23,1,1,2,6,768,1,-1,0,3
25,0,1,2,6,801,1,-1,0,3
26,1,1,2,6,482,2,-1,0,3
47,0,1,2,6,2456,2,-1,0,3
35,1,1,2,6,1363,7,-1,0,3
32,2,1,2,6,1336,4,-1,0,3
45,1,1,2,6,633,1,-1,0,3
30,1,1,2,6,524,15,-1,0,3
29,1,1,2,6,578,1,-1,0,3
38,0,1,2,6,984,2,-1,0,3
23,1,1,2,6,638,1,-1,0,3
27,2,1,2,6,767,2,-1,0,3
27,2,1,2,6,525,2,-1,0,3
29,1,1,2,6,563,1,-1,0,3
30,2,1,2,6,1449,6,-1,0,3
36,0,1,2,6,920,1,-1,0,3
35,1,1,2,6,908,1,-1,0,3
36,1,0,2,6,208,1,-1,0,3
59,0,1,2,6,910,2,-1,0,3
47,1,0,2,6,1446,1,-1,0,3
58,2,0,2,6,1149,2,-1,0,3
37,2,0,2,6,1123,1,-1,0,3
46,1,1,2,6,508,2,-1,0,3
43,1,1,2,6,736,2,-1,0,3
27,2,1,2,6,590,3,-1,0,3
38,1,0,2,6,636,1,-1,0,3
53,0,0,2,6,701,1,-1,0,3
47,1,0,2,6,761,2,-1,0,3
56,0,0,2,6,1558,1,-1,0,3
41,1,0,2,6,1053,2,-1,0,3
29,1,1,2,6,562,15,-1,0,3
50,1,1,2,6,494,5,-1,0,3
45,0,0,2,6,1018,3,-1,0,3
35,1,1,2,6,884,4,-1,0,3
26,1,1,2,6,709,5,-1,0,3
26,1,1,2,6,1276,2,-1,0,3
37,3,0,2,6,381,2,-1,0,3
30,1,1,2,6,862,11,-1,0,3
38,2,1,2,6,460,4,-1,0,3
37,1,1,2,6,467,3,-1,0,3
53,1,0,2,6,648,2,-1,0,3
29,0,1,2,6,2653,3,-1,0,3
35,2,0,2,6,1085,1,-1,0,3
28,1,1,2,6,369,2,-1,0,3
55,3,0,2,6,685,3,-1,0,3
49,1,1,2,6,1055,10,-1,0,3
50,1,0,2,6,882,1,-1,0,3
43,2,0,2,6,901,1,-1,0,3
58,2,0,2,6,700,1,-1,0,3
38,0,1,2,6,491,6,-1,0,3
48,0,0,2,6,940,1,-1,0,3
59,1,0,2,6,3881,3,-1,0,3
58,1,0,2,6,486,3,-1,0,3
36,2,0,2,6,1137,3,-1,0,3
42,2,0,2,6,878,3,-1,0,3
41,1,0,2,6,583,4,-1,0,3
42,1,0,2,6,1159,4,-1,0,3
39,2,0,2,6,893,8,-1,0,3
57,0,0,2,6,867,1,-1,0,3
52,3,0,2,6,706,1,-1,0,3
59,3,0,2,6,1199,1,-1,0,3
56,1,0,2,6,935,1,-1,0,3
49,2,0,2,6,586,1,-1,0,3
35,3,0,2,6,967,2,-1,0,3
36,1,0,2,6,595,2,-1,0,3
40,2,0,2,6,1290,2,-1,0,3
55,1,0,2,6,614,2,-1,0,3
58,1,0,2,6,885,1,-1,0,3
39,2,0,2,6,651,5,-1,0,3
47,2,0,2,6,993,6,-1,0,3
40,1,1,2,6,577,2,-1,0,3
35,2,0,2,6,1141,6,-1,0,3
48,1,1,2,6,1268,2,-1,0,3
48,2,0,2,6,1243,7,-1,0,3
24,1,1,2,6,465,3,-1,0,3
49,0,1,2,6,513,2,-1,0,3
36,1,1,2,6,686,11,-1,0,3
52,2,1,2,6,741,4,-1,0,3
42,3,0,2,6,617,1,-1,0,3
36,1,0,2,6,1093,1,-1,0,3
36,1,1,2,6,1395,2,-1,0,3
48,2,0,2,6,1089,1,-1,0,3
51,1,1,2,6,1248,3,-1,0,3
51,1,0,2,6,721,3,-1,0,3
46,1,1,2,6,750,2,-1,0,3
37,2,0,2,6,637,6,-1,0,3
36,2,0,2,6,2769,4,-1,0,3
47,1,0,2,6,556,1,-1,0,3
40,2,0,2,6,522,1,-1,0,3
38,2,0,2,6,1345,3,-1,0,3
40,1,0,2,6,676,2,-1,0,3
39,0,1,2,6,775,3,-1,0,3
60,2,0,2,6,2621,3,-1,0,3
39,2,0,2,6,1029,1,-1,0,3
51,1,0,2,6,371,2,-1,0,3
27,1,1,2,6,1528,2,-1,0,3
41,2,0,2,6,1540,1,-1,0,3
42,0,0,2,6,973,1,-1,0,3
41,1,0,2,6,707,1,-1,0,3
33,1,1,2,6,625,2,-1,0,3
46,1,0,2,6,1255,1,-1,0,3
31,1,1,2,6,704,4,-1,0,3
41,0,0,2,6,1574,3,-1,0,3
41,1,0,2,6,1135,4,-1,0,3
55,1,0,2,6,1007,1,-1,0,3
53,1,0,2,6,1318,3,-1,0,3
55,0,0,2,6,922,2,-1,0,3
39,1,1,2,6,585,1,-1,0,3
40,2,0,2,6,952,4,-1,0,3
59,0,0,2,6,834,1,-1,0,3
42,1,0,2,6,651,3,-1,0,3
41,0,0,2,6,683,3,-1,0,3
27,1,1,2,6,1012,1,-1,0,3
25,1,1,2,6,958,7,-1,0,3
43,0,0,2,6,973,2,-1,0,3
44,1,0,2,6,911,1,-1,0,3
26,1,1,2,6,382,7,-1,0,3
52,2,0,2,6,1210,1,-1,0,3
54,3,0,2,6,838,1,-1,0,3
56,2,0,2,6,422,1,-1,0,3
57,2,0,2,6,1098,2,-1,0,3
29,1,1,2,6,1663,1,-1,0,3
47,2,0,2,6,560,3,-1,0,3
57,2,1,2,6,1617,1,-1,0,3
40,1,1,2,6,570,2,-1,0,3
46,1,0,2,6,1023,3,-1,0,3
43,1,1,2,6,585,2,-1,0,3
45,2,0,2,6,693,3,-1,0,3
24,1,1,2,6,546,10,-1,0,3
40,1,1,2,6,1036,5,-1,0,3
38,3,0,2,6,1409,2,-1,0,3
36,2,0,2,6,988,4,-1,0,3
27,1,0,2,6,498,2,-1,0,3
26,0,1,2,6,670,3,-1,0,3
43,2,1,2,6,662,2,-1,0,3
25,0,1,2,6,528,2,-1,0,3
27,2,1,2,6,519,3,-1,0,3
30,2,1,2,6,677,3,-1,0,3
28,1,0,2,6,3183,2,-1,0,3
27,0,0,2,6,422,6,-1,0,3
32,1,0,2,6,856,2,-1,0,3
41,1,1,2,5,479,9,-1,0,3
37,2,0,2,5,1135,2,-1,0,3
27,1,0,2,5,650,2,-1,0,3
29,1,0,2,5,587,3,-1,0,3
33,1,0,2,5,676,1,-1,0,3
36,0,0,2,5,584,1,-1,0,3
28,1,1,0,5,1044,3,-1,0,3
55,1,1,0,5,494,4,-1,0,3
51,1,0,0,5,615,2,-1,0,3
39,1,1,0,5,718,2,-1,0,3
42,0,1,0,5,434,3,-1,0,3
33,1,0,0,5,782,1,-1,0,3
36,2,0,0,5,722,3,-1,0,3
45,1,0,0,5,621,2,-1,0,3
37,1,0,0,5,629,2,-1,0,3
46,1,0,0,5,385,5,-1,0,3
32,2,0,0,5,889,1,-1,0,3
28,1,0,0,5,532,1,-1,0,3
45,1,0,0,5,574,1,-1,0,3
41,1,1,0,5,599,1,-1,0,3
59,0,0,0,5,849,1,-1,0,3
47,1,1,0,5,973,3,-1,0,3
31,1,0,0,5,719,2,-1,0,3
31,2,0,0,5,509,4,-1,0,3
33,1,1,0,5,740,1,-1,0,3
52,2,0,0,5,534,1,-1,0,3
26,1,0,0,5,531,1,-1,0,3
25,1,0,0,5,634,1,-1,0,3
25,1,0,0,5,460,3,-1,0,3
28,1,0,0,5,681,1,-1,0,3
33,2,0,0,5,1082,1,-1,0,3
45,2,0,0,5,730,1,-1,0,3
36,1,0,0,5,716,5,-1,0,3
26,1,0,0,5,803,2,-1,0,3
38,1,0,0,5,635,1,-1,0,3
56,1,0,0,5,819,3,-1,0,3
26,1,0,0,5,658,2,-1,0,3
26,1,0,0,5,1061,4,-1,0,3
25,1,0,0,5,687,2,-1,0,3
26,1,0,0,5,537,1,-1,0,3
40,0,1,0,5,781,1,-1,0,3
37,0,1,0,5,645,1,-1,0,3
43,0,0,0,5,1242,1,-1,0,3
41,2,1,0,5,662,1,-1,0,3
49,1,0,0,5,625,1,-1,0,3
29,2,0,0,5,426,3,-1,0,3
39,1,1,0,5,869,1,-1,0,3
38,2,1,0,5,556,5,-1,0,3
26,1,0,0,5,359,5,-1,0,3
32,2,1,0,5,1014,1,-1,0,3
33,0,1,0,5,1290,4,-1,0,3
31,2,0,0,5,564,5,-1,0,3
49,0,0,0,5,1439,6,-1,0,3
27,0,0,0,5,919,2,-1,0,3
30,1,1,0,5,1426,3,-1,0,3
35,1,0,0,5,901,1,-1,0,3
26,1,1,0,5,998,4,-1,0,3
45,3,1,0,5,804,1,-1,0,3
34,1,1,0,5,961,1,-1,0,3
28,1,0,0,5,720,2,-1,0,3
25,1,0,0,5,1341,7,-1,0,3
30,1,1,0,5,634,1,-1,0,3
30,1,0,0,5,829,5,-1,0,3
47,1,1,0,5,476,4,-1,0,3
57,1,0,0,5,724,1,-1,0,3
38,2,1,0,5,500,1,-1,0,3
54,1,0,0,5,2029,1,-1,0,3
25,0,0,0,5,1499,3,-1,0,3
30,1,1,0,5,1399,1,-1,0,3
26,2,0,0,5,1187,3,-1,0,3
31,0,1,0,5,487,1,-1,0,3
29,1,0,0,5,1097,3,-1,0,3
49,1,1,0,5,1060,2,-1,0,3
60,1,0,0,5,764,2,-1,0,3
60,2,1,0,5,1120,2,-1,0,3
29,2,1,0,5,963,2,-1,0,3
55,1,1,0,5,1973,2,-1,0,3
44,1,1,0,5,911,2,-1,0,3
47,1,1,0,5,853,2,-1,0,3
35,1,1,0,5,1649,2,-1,0,3
35,1,0,0,5,1397,3,-1,0,3
38,1,1,0,5,766,3,-1,0,3
34,2,1,0,5,788,2,-1,0,3
50,1,0,0,5,1130,3,-1,0,3
43,2,1,0,5,1062,4,-1,0,3
44,1,1,0,5,1669,2,-1,0,3
51,1,0,0,5,1336,4,-1,0,3
31,1,1,0,5,444,3,-1,0,3
39,2,1,0,5,894,7,-1,0,3
59,2,0,0,5,805,3,-1,0,3
25,1,0,0,5,1056,2,-1,0,3
58,2,1,0,5,815,4,-1,0,3
30,0,1,0,5,808,3,-1,0,3
34,0,1,0,5,860,4,-1,0,3
51,1,0,0,5,881,1,-1,0,3
60,1,0,0,5,981,1,-1,0,3
51,1,0,0,5,1001,3,-1,0,3
37,2,0,0,5,514,5,-1,0,3
30,0,0,0,5,716,3,-1,0,3
46,1,0,0,5,769,4,-1,0,3
29,2,0,0,5,889,5,-1,0,3
27,2,0,0,5,448,5,-1,0,3
28,2,1,0,5,767,5,-1,0,3
34,1,1,0,5,578,1,-1,0,3
29,3,1,0,5,1806,4,-1,0,3
27,2,1,0,5,496,1,-1,0,3
26,1,0,0,5,586,1,-1,0,3
36,2,1,0,5,689,1,-1,0,3
44,0,1,0,5,555,1,-1,0,3
39,2,0,0,5,686,6,-1,0,3
30,1,1,0,5,435,1,-1,0,3
31,2,1,0,5,873,2,-1,0,3
56,0,1,0,5,1222,1,-1,0,3
29,1,1,0,5,988,1,-1,0,3
43,1,0,0,5,1019,11,-1,0,3
32,1,1,0,5,709,2,-1,0,3
30,1,0,0,5,561,9,-1,0,3
40,1,1,0,5,1018,2,-1,0,3
42,1,1,0,5,1039,2,-1,0,3
27,1,1,0,5,781,2,-1,0,3
35,2,0,0,5,1656,5,-1,0,3
35,0,1,0,5,923,2,-1,0,3
32,1,1,0,5,1275,1,-1,0,3
39,1,1,0,5,342,2,-1,0,3
31,1,1,1,5,1008,2,-1,0,3
26,1,0,0,5,538,2,-1,0,3
42,2,1,0,5,795,1,-1,0,3
27,1,1,0,5,1027,1,-1,0,3
33,1,1,0,5,1584,2,-1,0,3
51,0,1,0,5,582,2,-1,0,3
33,1,1,1,5,1448,7,-1,0,3
30,2,0,0,5,656,3,-1,0,3
52,0,1,0,5,1208,1,-1,0,3
42,0,1,0,5,1175,2,-1,0,3
31,2,1,0,5,536,5,-1,0,3
27,1,1,0,5,991,5,-1,0,3
44,1,0,0,5,1153,4,-1,0,3
40,1,1,0,5,623,3,-1,0,3
46,0,1,0,5,1081,2,-1,0,3
32,1,1,0,5,978,1,-1,0,3
56,1,0,0,5,536,1,-1,0,3
33,1,1,0,5,968,1,-1,0,3
33,1,1,0,5,278,2,-1,0,3
32,0,1,0,5,560,1,-1,0,3
41,0,1,0,5,640,3,-1,0,3
31,1,0,0,5,420,1,-1,0,3
30,1,1,0,5,658,2,-1,0,3
34,1,0,0,5,641,1,-1,0,3
43,1,1,0,5,635,3,-1,0,3
28,1,0,0,5,588,7,-1,0,3
32,1,0,0,5,1373,4,-1,0,3
31,1,1,0,5,913,4,-1,0,3
35,2,1,0,5,799,2,-1,0,3
31,2,1,0,5,1139,2,-1,0,3
25,1,0,0,5,1105,2,-1,0,3
56,2,0,0,5,854,1,-1,0,3
47,1,1,0,5,919,2,-1,0,3
39,2,1,1,5,733,3,-1,0,3
51,2,1,0,5,553,1,-1,0,3
54,1,0,0,5,710,1,-1,0,3
58,3,0,0,5,891,4,-1,0,3
42,3,1,1,5,691,10,-1,0,3
56,0,0,1,5,1877,1,-1,0,3
55,1,1,1,5,1130,8,-1,0,3
26,0,1,0,5,577,2,-1,0,3
40,1,0,0,5,1342,2,-1,0,3
26,1,0,0,5,1002,3,-1,0,3
35,2,0,0,5,985,11,-1,0,3
34,1,0,0,5,1360,3,-1,0,3
41,2,0,0,5,1134,5,-1,0,3
44,0,1,0,5,712,6,-1,0,3
33,2,1,0,5,1077,1,-1,0,3
36,2,0,0,5,560,1,-1,0,3
38,1,1,0,5,1545,1,-1,0,3
35,2,1,0,5,654,2,-1,0,3
41,2,0,0,5,1833,2,-1,0,3
41,3,1,0,5,1508,1,-1,0,3
28,1,1,0,5,598,5,-1,0,3
26,1,1,0,5,1237,7,-1,0,3
39,1,0,0,5,864,4,-1,0,3
25,3,1,0,5,1037,8,-1,0,3
37,1,1,1,5,802,11,-1,0,3
25,1,1,0,5,754,1,-1,0,3
46,2,1,0,5,870,1,-1,0,3
25,1,1,0,5,633,1,-1,0,3
28,2,0,0,5,690,1,-1,0,3
33,1,0,0,5,529,1,-1,0,3
32,1,1,0,5,1152,2,-1,0,3
32,1,1,0,5,956,9,-1,0,3
47,1,1,0,5,957,3,-1,0,3
50,2,1,0,5,1327,2,-1,0,3
27,1,1,0,5,228,2,-1,0,3
45,1,1,0,5,808,1,-1,0,3
51,1,0,0,5,638,2,-1,0,3
36,1,1,0,5,1201,6,-1,0,3
51,1,1,0,5,1309,4,-1,0,3
33,2,1,0,5,1359,6,-1,0,3
59,1,1,0,5,416,4,-1,0,3
38,2,0,0,5,532,2,-1,0,3
40,1,1,0,5,430,4,-1,0,3
51,0,1,0,5,853,2,-1,0,3
41,1,0,0,5,1204,1,-1,0,3
38,1,1,0,5,1484,24,-1,0,3
31,2,1,0,5,1441,2,-1,0,3
28,1,1,0,5,454,1,-1,0,3
41,1,0,0,5,651,1,-1,0,3
33,2,1,0,5,1491,2,-1,0,3
25,1,1,0,5,903,1,-1,0,3
45,1,1,0,5,873,8,-1,0,3
31,0,1,0,5,901,2,-1,0,3
28,1,1,0,5,821,2,-1,0,3
49,1,0,0,5,367,2,-1,0,3
25,1,1,0,5,458,9,-1,0,3
28,2,1,0,5,1602,6,-1,0,3
54,1,0,1,5,1492,2,-1,0,3
28,2,1,0,5,1422,2,-1,0,3
27,2,1,0,5,728,2,-1,0,3
49,0,1,0,5,979,2,-1,0,3
53,0,1,0,5,616,5,-1,0,3
26,1,0,0,5,784,1,-1,0,3
37,1,0,0,5,1000,1,-1,0,3
34,1,0,0,5,695,1,-1,0,3
51,0,0,1,5,1946,4,-1,0,3
39,1,0,1,5,362,8,-1,0,3
35,2,1,0,5,743,13,-1,0,3
51,0,1,0,5,2015,1,-1,0,3
30,2,1,0,5,1031,8,-1,0,3
42,0,1,0,5,590,8,-1,0,3
54,1,1,0,5,1330,3,-1,0,3
51,0,1,0,5,946,3,-1,0,3
57,0,0,0,5,1448,17,-1,0,3
30,2,1,1,5,279,4,-1,0,3
37,1,0,0,5,661,4,-1,0,3
39,1,1,0,5,1369,9,-1,0,3
35,2,0,0,5,653,4,-1,0,3
48,1,1,0,5,458,7,-1,0,3
31,2,1,0,5,664,8,-1,0,3
35,1,1,0,5,699,3,-1,0,3
48,1,0,0,5,939,3,-1,0,3
53,0,0,0,5,1169,2,-1,0,3
27,1,0,0,5,837,3,-1,0,3
55,1,1,1,5,596,4,-1,0,3
40,1,1,0,5,383,3,-1,0,3
40,2,0,1,5,1009,7,-1,0,3
38,1,1,0,5,1096,4,-1,0,3
54,1,0,0,5,867,2,-1,0,3
54,1,0,0,5,551,3,-1,0,3
50,1,0,0,5,890,4,-1,0,3
48,2,0,0,5,874,2,-1,0,3
41,3,0,0,5,710,2,-1,0,3
51,0,0,0,5,600,2,-1,0,3
42,2,0,0,5,2516,2,-1,0,3
58,1,1,0,5,1058,2,-1,0,3
47,1,0,0,5,884,1,-1,0,3
58,1,1,1,5,616,13,-1,0,3
41,1,0,0,5,808,3,-1,0,3
50,1,0,1,5,1011,6,-1,0,3
46,1,1,0,5,1013,29,-1,0,3
44,1,0,0,5,684,2,-1,0,3
36,1,0,0,5,843,2,-1,0,3
58,1,0,1,5,542,2,-1,0,3
44,0,0,0,5,788,2,-1,0,3
49,3,1,0,5,988,2,-1,0,3
55,2,0,0,5,814,2,-1,0,3
52,0,0,1,5,694,2,-1,0,3
60,1,0,0,5,441,5,-1,0,3
41,3,0,0,5,1171,4,-1,0,3
36,2,0,0,5,729,4,-1,0,3
41,0,0,0,5,509,2,-1,0,3
50,2,0,1,5,1089,4,-1,0,3
44,0,0,0,5,1211,2,-1,0,3
54,1,0,0,5,458,3,-1,0,3
35,2,1,0,5,540,8,-1,0,3
59,1,0,0,5,761,4,-1,0,3
42,3,1,0,5,695,2,-1,0,3
27,2,1,0,5,764,4,-1,0,3
59,0,0,0,5,675,3,-1,0,3
43,1,0,0,5,782,8,-1,0,3
39,1,0,0,5,962,4,-1,0,3
33,1,0,0,5,481,3,-1,0,3
36,2,0,0,5,812,3,-1,0,3
35,0,1,0,5,630,6,-1,0,3
50,3,1,1,5,1088,17,-1,0,3
55,1,1,0,5,1150,5,-1,0,3
51,2,0,0,5,574,2,-1,0,3
48,2,0,0,5,725,4,-1,0,3
55,0,0,0,5,463,6,-1,0,3
30,1,1,0,5,662,13,-1,0,3
53,0,0,0,5,727,4,-1,0,3
40,1,0,0,5,1107,2,-1,0,3
44,0,0,0,5,829,4,-1,0,3
49,2,0,0,5,1212,4,-1,0,3
